SNP_ID	DiseaseTrait
rs10800047	No associated clinical information for this SNP
rs902038	No associated clinical information for this SNP
rs3767367	No associated clinical information for this SNP
rs6698381	No associated clinical information for this SNP
rs1107531	No associated clinical information for this SNP
rs10800055	No associated clinical information for this SNP
rs6426881	Night sleep phenotypes
rs1890535	No associated clinical information for this SNP
rs10494426	No associated clinical information for this SNP
rs1934089	No associated clinical information for this SNP
rs10800056	No associated clinical information for this SNP
rs4347190	No associated clinical information for this SNP
rs12071316	No associated clinical information for this SNP
rs1891737	No associated clinical information for this SNP
rs4275431	No associated clinical information for this SNP
rs10918106	No associated clinical information for this SNP
rs7542261	No associated clinical information for this SNP
rs11800195	No associated clinical information for this SNP
rs1891339	No associated clinical information for this SNP
rs10800069	No associated clinical information for this SNP
rs12404676	No associated clinical information for this SNP
rs12119600	No associated clinical information for this SNP
rs4495669	No associated clinical information for this SNP
rs6663388	No associated clinical information for this SNP
rs4657399	No associated clinical information for this SNP
rs11799433	No associated clinical information for this SNP
rs10918123	No associated clinical information for this SNP
rs12092467	No associated clinical information for this SNP
rs6426897	No associated clinical information for this SNP
rs1038980	Educational attainment
rs16840155	No associated clinical information for this SNP
rs730890	No associated clinical information for this SNP
rs1039587	No associated clinical information for this SNP
rs6703000	No associated clinical information for this SNP
rs1394439	No associated clinical information for this SNP
rs10494440	No associated clinical information for this SNP
rs10918143	No associated clinical information for this SNP
rs4657427	No associated clinical information for this SNP
rs10494441	No associated clinical information for this SNP
rs4361970	No associated clinical information for this SNP
rs16842100	No associated clinical information for this SNP
rs16842357	No associated clinical information for this SNP
rs2174696	No associated clinical information for this SNP
rs875822	No associated clinical information for this SNP
rs17414281	No associated clinical information for this SNP
rs12057296	No associated clinical information for this SNP
rs10489743	No associated clinical information for this SNP
rs12143294	No associated clinical information for this SNP
rs16844019	No associated clinical information for this SNP
rs283694	TestASV_32 (Ruminococcaceae) abundance
rs746332	No associated clinical information for this SNP
rs157869	No associated clinical information for this SNP
rs157880	No associated clinical information for this SNP
rs10800098	AIDS
rs4657449	No associated clinical information for this SNP
rs185902	No associated clinical information for this SNP
rs285473	No associated clinical information for this SNP
rs2478259	No associated clinical information for this SNP
rs7528336	No associated clinical information for this SNP
rs7355084	No associated clinical information for this SNP
rs1913836	No associated clinical information for this SNP
rs1415502	No associated clinical information for this SNP
rs4147599	No associated clinical information for this SNP
rs9333437	No associated clinical information for this SNP
rs1878076	No associated clinical information for this SNP
rs2271657	No associated clinical information for this SNP
rs4147611	No associated clinical information for this SNP
rs10918239	No associated clinical information for this SNP
rs4646883	No associated clinical information for this SNP
rs4341347	No associated clinical information for this SNP
rs1913845	No associated clinical information for this SNP
rs11587339	No associated clinical information for this SNP
rs12095440	No associated clinical information for this SNP
rs16850789	No associated clinical information for this SNP
rs11585115	No associated clinical information for this SNP
rs10918293	No associated clinical information for this SNP
rs3790672	Testicular germ cell tumor
rs3748699	No associated clinical information for this SNP
rs16852868	Height
rs10800167	No associated clinical information for this SNP
rs1934272	No associated clinical information for this SNP
rs10800171	No associated clinical information for this SNP
rs12026896	No associated clinical information for this SNP
rs10918318	No associated clinical information for this SNP
rs16853832	No associated clinical information for this SNP
rs11587642	No associated clinical information for this SNP
rs4657500	No associated clinical information for this SNP
rs1319898	No associated clinical information for this SNP
rs10753700	No associated clinical information for this SNP
rs11581254	No associated clinical information for this SNP
rs4642869	No associated clinical information for this SNP
rs6662013	No associated clinical information for this SNP
rs12081735	No associated clinical information for this SNP
rs7551912	No associated clinical information for this SNP
rs9651038	No associated clinical information for this SNP
rs16856876	No associated clinical information for this SNP
rs4282794	No associated clinical information for this SNP
rs6426993	No associated clinical information for this SNP
rs12030750	No associated clinical information for this SNP
rs16856966	No associated clinical information for this SNP
rs3929930	No associated clinical information for this SNP
rs6426996	No associated clinical information for this SNP
rs16856987	No associated clinical information for this SNP
rs3924946	No associated clinical information for this SNP
rs10918446	No associated clinical information for this SNP
rs10918474	No associated clinical information for this SNP
rs10918481	Core binding factor acute myeloid leukemia
rs11579746	No associated clinical information for this SNP
rs12119773	No associated clinical information for this SNP
rs2841176	No associated clinical information for this SNP
rs1353231	No associated clinical information for this SNP
rs10494467	No associated clinical information for this SNP
rs16857521	No associated clinical information for this SNP
rs714339	No associated clinical information for this SNP
rs7522414	No associated clinical information for this SNP
rs487726	No associated clinical information for this SNP
rs17331024	No associated clinical information for this SNP
rs2038022	No associated clinical information for this SNP
rs742048	No associated clinical information for this SNP
rs10489574	No associated clinical information for this SNP
rs10918600	No associated clinical information for this SNP
rs2075982	No associated clinical information for this SNP
rs1952313	No associated clinical information for this SNP
rs10918609	No associated clinical information for this SNP
rs12410568	No associated clinical information for this SNP
rs17433906	No associated clinical information for this SNP
rs10918613	No associated clinical information for this SNP
rs12041287	No associated clinical information for this SNP
rs11806848	No associated clinical information for this SNP
rs12409740	No associated clinical information for this SNP
rs10918653	No associated clinical information for this SNP
rs10918662	No associated clinical information for this SNP
rs11580495	No associated clinical information for this SNP
rs12068411	No associated clinical information for this SNP
rs10918693	No associated clinical information for this SNP
rs1214609	No associated clinical information for this SNP
rs6670426	No associated clinical information for this SNP
rs704852	No associated clinical information for this SNP
rs858542	No associated clinical information for this SNP
rs2982480	No associated clinical information for this SNP
rs3820390	No associated clinical information for this SNP
rs2995054	No associated clinical information for this SNP
rs2984800	No associated clinical information for this SNP
rs6698995	No associated clinical information for this SNP
rs1737498	No associated clinical information for this SNP
rs10918708	CD3 on CD39+ activated CD4 regulatory T cell
rs12048110	No associated clinical information for this SNP
rs3820393	No associated clinical information for this SNP
rs1737481	No associated clinical information for this SNP
rs1773548	No associated clinical information for this SNP
rs17477053	No associated clinical information for this SNP
rs12563273	No associated clinical information for this SNP
rs1935286	No associated clinical information for this SNP
rs12037105	No associated clinical information for this SNP
rs12039995	No associated clinical information for this SNP
rs4657681	No associated clinical information for this SNP
rs12027530	No associated clinical information for this SNP
rs1229377	No associated clinical information for this SNP
rs10918737	No associated clinical information for this SNP
rs1229351	No associated clinical information for this SNP
rs7548083	No associated clinical information for this SNP
rs13374598	No associated clinical information for this SNP
rs12566176	No associated clinical information for this SNP
rs3767445	No associated clinical information for this SNP
rs10918754	No associated clinical information for this SNP
rs7518652	No associated clinical information for this SNP
rs4472738	No associated clinical information for this SNP
rs10125	No associated clinical information for this SNP
rs8623	No associated clinical information for this SNP
rs3213588	No associated clinical information for this SNP
rs3738235	No associated clinical information for this SNP
rs203777	No associated clinical information for this SNP
rs11579897	No associated clinical information for this SNP
rs12069749	No associated clinical information for this SNP
rs275137	Core binding factor acute myeloid leukemia
rs275138	No associated clinical information for this SNP
rs2863764	No associated clinical information for this SNP
rs7525424	No associated clinical information for this SNP
rs10918826	No associated clinical information for this SNP
rs2294253	No associated clinical information for this SNP
rs2235207	No associated clinical information for this SNP
rs3767481	No associated clinical information for this SNP
rs2300573	No associated clinical information for this SNP
rs10800356	No associated clinical information for this SNP
rs760685	No associated clinical information for this SNP
rs2268554	No associated clinical information for this SNP
rs7549700	No associated clinical information for this SNP
rs7417366	X-C motif chemokine ligand 1 levels
rs7536740	No associated clinical information for this SNP
rs16860761	No associated clinical information for this SNP
rs7529824	No associated clinical information for this SNP
rs1933107	No associated clinical information for this SNP
rs1933089	No associated clinical information for this SNP
rs11589732	No associated clinical information for this SNP
rs2419117	No associated clinical information for this SNP
rs7355223	No associated clinical information for this SNP
rs728354	No associated clinical information for this SNP
rs10489216	No associated clinical information for this SNP
rs10489217	No associated clinical information for this SNP
rs6427140	Height
rs1009434	No associated clinical information for this SNP
rs1415678	No associated clinical information for this SNP
rs1412335	Height
rs631451	No associated clinical information for this SNP
rs7542028	No associated clinical information for this SNP
rs11590043	No associated clinical information for this SNP
rs11804204	No associated clinical information for this SNP
rs736846	No associated clinical information for this SNP
rs471972	No associated clinical information for this SNP
rs3950134	No associated clinical information for this SNP
rs2744662	No associated clinical information for this SNP
rs200577	No associated clinical information for this SNP
rs857646	No associated clinical information for this SNP
rs857633	No associated clinical information for this SNP
rs1407477	No associated clinical information for this SNP
rs12562255	No associated clinical information for this SNP
rs6427160	Core binding factor acute myeloid leukemia
rs10489369	No associated clinical information for this SNP
rs10800398	Mitochondrial DNA levels
rs10919051	No associated clinical information for this SNP
rs1200131	No associated clinical information for this SNP
rs3766031	No associated clinical information for this SNP
rs9765	No associated clinical information for this SNP
rs12728466	No associated clinical information for this SNP
rs9633334	No associated clinical information for this SNP
rs12118611	No associated clinical information for this SNP
rs10919144	No associated clinical information for this SNP
rs10158131	No associated clinical information for this SNP
rs3765229	No associated clinical information for this SNP
rs10489188	No associated clinical information for this SNP
rs12092506	No associated clinical information for this SNP
rs17518769	No associated clinical information for this SNP
rs723751	No associated clinical information for this SNP
rs970741	No associated clinical information for this SNP
rs12120605	No associated clinical information for this SNP
rs7545236	Ethion levels
rs1894701	No associated clinical information for this SNP
rs3917854	No associated clinical information for this SNP
rs6128	P-selectin level in Chronic kidney disease with hypertension and no diabetes (4154_57)
rs3766122	No associated clinical information for this SNP
rs2205895	Torsin-1A-interacting protein 1 levels (TOR1AIP1.9039.47.3)
rs2076074	No associated clinical information for this SNP
rs3917740	No associated clinical information for this SNP
rs6131	No associated clinical information for this SNP
rs3917709	No associated clinical information for this SNP
rs732314	Epigenetic age acceleration (Horvath) in childhood cancer survivors
rs3917651	No associated clinical information for this SNP
rs17524161	No associated clinical information for this SNP
rs1569475	No associated clinical information for this SNP
rs1011266	No associated clinical information for this SNP
rs12049148	No associated clinical information for this SNP
rs4656703	No associated clinical information for this SNP
rs10800477	No associated clinical information for this SNP
rs11581878	No associated clinical information for this SNP
rs2272918	No associated clinical information for this SNP
rs1062976	No associated clinical information for this SNP
rs2750014	No associated clinical information for this SNP
rs1330369	No associated clinical information for this SNP
rs12145614	No associated clinical information for this SNP
rs2050651	No associated clinical information for this SNP
rs12126443	No associated clinical information for this SNP
rs10919299	No associated clinical information for this SNP
rs12135070	No associated clinical information for this SNP
rs471569	No associated clinical information for this SNP
rs532141	No associated clinical information for this SNP
rs17349942	No associated clinical information for this SNP
rs12144655	Waist circumference adjusted for body mass index
rs12028052	No associated clinical information for this SNP
rs1412787	No associated clinical information for this SNP
rs10919337	No associated clinical information for this SNP
rs2254605	No associated clinical information for this SNP
rs1332969	No associated clinical information for this SNP
rs16863267	No associated clinical information for this SNP
rs10753804	No associated clinical information for this SNP
rs17346171	No associated clinical information for this SNP
rs1332978	No associated clinical information for this SNP
rs1930537	No associated clinical information for this SNP
rs1113231	No associated clinical information for this SNP
rs12119356	No associated clinical information for this SNP
rs7515690	No associated clinical information for this SNP
rs6678578	No associated clinical information for this SNP
rs12027180	No associated clinical information for this SNP
rs12121907	No associated clinical information for this SNP
rs520131	No associated clinical information for this SNP
rs6679313	A body shape index
rs2421494	No associated clinical information for this SNP
rs991230	No associated clinical information for this SNP
rs6702078	No associated clinical information for this SNP
rs7418292	No associated clinical information for this SNP
rs10919470	Male-pattern baldness
rs6677593	No associated clinical information for this SNP
rs4656805	No associated clinical information for this SNP
rs10489239	No associated clinical information for this SNP
rs6667186	No associated clinical information for this SNP
rs11810972	No associated clinical information for this SNP
rs979070	No associated clinical information for this SNP
rs11487418	No associated clinical information for this SNP
rs16863957	No associated clinical information for this SNP
rs1920145	No associated clinical information for this SNP
rs7474070	No associated clinical information for this SNP
rs17350502	No associated clinical information for this SNP
rs1800822	No associated clinical information for this SNP
rs1736557	No associated clinical information for this SNP
rs909529	No associated clinical information for this SNP
rs2066532	No associated clinical information for this SNP
rs1736559	No associated clinical information for this SNP
rs10911839	No associated clinical information for this SNP
rs11812044	No associated clinical information for this SNP
rs2272797	No associated clinical information for this SNP
rs7883894	No associated clinical information for this SNP
rs12072579	No associated clinical information for this SNP
rs7887295	No associated clinical information for this SNP
rs28369797	No associated clinical information for this SNP
rs2307492	No associated clinical information for this SNP
rs2020862	No associated clinical information for this SNP
rs28369895	No associated clinical information for this SNP
rs2049920	No associated clinical information for this SNP
rs6671692	No associated clinical information for this SNP
rs10798271	No associated clinical information for this SNP
rs4916273	No associated clinical information for this SNP
rs2076320	No associated clinical information for this SNP
rs6660565	Sudden cardiac arrest
rs7541160	No associated clinical information for this SNP
rs2223477	No associated clinical information for this SNP
rs1963273	No associated clinical information for this SNP
rs1018391	No associated clinical information for this SNP
rs7538705	No associated clinical information for this SNP
rs2421809	No associated clinical information for this SNP
rs7523796	No associated clinical information for this SNP
rs2143934	No associated clinical information for this SNP
rs12031933	No associated clinical information for this SNP
rs10798416	No associated clinical information for this SNP
rs16864515	Microalbuminuria
rs929115	No associated clinical information for this SNP
rs2421853	No associated clinical information for this SNP
rs7525674	No associated clinical information for this SNP
rs235920	No associated clinical information for this SNP
rs2075537	No associated clinical information for this SNP
rs2014613	No associated clinical information for this SNP
rs11799420	Hippocampal atrophy
rs9943293	No associated clinical information for this SNP
rs236894	No associated clinical information for this SNP
rs1001373	No associated clinical information for this SNP
rs3753539	No associated clinical information for this SNP
rs10913625	No associated clinical information for this SNP
rs11803889	Executive function (trail making test B)
rs2232816	No associated clinical information for this SNP
rs11587288	No associated clinical information for this SNP
rs2206544	No associated clinical information for this SNP
rs7554526	No associated clinical information for this SNP
rs2208370	No associated clinical information for this SNP
rs10910863	No associated clinical information for this SNP
rs16843795	No associated clinical information for this SNP
rs10911112	No associated clinical information for this SNP
rs10797791	No associated clinical information for this SNP
rs479185	No associated clinical information for this SNP
rs610587	No associated clinical information for this SNP
rs633995	Waist-to-hip ratio adjusted for BMI
rs678962	Height
rs10489288	No associated clinical information for this SNP
rs2254720	No associated clinical information for this SNP
rs10752932	No associated clinical information for this SNP
rs2586416	No associated clinical information for this SNP
rs16844255	No associated clinical information for this SNP
rs1894633	Waist-to-hip ratio adjusted for body mass index
rs3213564	No associated clinical information for this SNP
rs12132562	QT interval (sulfonylurea treatment interaction)
rs10489282	No associated clinical information for this SNP
rs16844612	No associated clinical information for this SNP
rs6424956	No associated clinical information for this SNP
rs10911843	No associated clinical information for this SNP
rs10489279	No associated clinical information for this SNP
rs1492907	No associated clinical information for this SNP
rs6673027	No associated clinical information for this SNP
rs704842	No associated clinical information for this SNP
rs11810332	No associated clinical information for this SNP
rs12079004	No associated clinical information for this SNP
rs11801183	No associated clinical information for this SNP
rs2157453	Celiac disease
rs1883475	No associated clinical information for this SNP
rs10912501	No associated clinical information for this SNP
rs10489272	No associated clinical information for this SNP
rs4916292	No associated clinical information for this SNP
rs1883478	No associated clinical information for this SNP
rs6425201	No associated clinical information for this SNP
rs2236876	No associated clinical information for this SNP
rs12118211	No associated clinical information for this SNP
rs6663669	No associated clinical information for this SNP
rs10912543	No associated clinical information for this SNP
rs6674433	No associated clinical information for this SNP
rs10158707	No associated clinical information for this SNP
rs10489267	No associated clinical information for this SNP
rs3861953	No associated clinical information for this SNP
rs2422334	No associated clinical information for this SNP
rs2205960	Systemic lupus erythematosus
rs1012507	Pediatric steroid sensitive nephrotic syndrome
rs12124768	No associated clinical information for this SNP
rs6425213	No associated clinical information for this SNP
rs10912586	No associated clinical information for this SNP
rs7526970	No associated clinical information for this SNP
rs1342038	Diabetic retinopathy
rs6701588	No associated clinical information for this SNP
rs7512487	No associated clinical information for this SNP
rs12085083	No associated clinical information for this SNP
rs10737302	No associated clinical information for this SNP
rs4405161	No associated clinical information for this SNP
rs7540065	No associated clinical information for this SNP
rs12080769	No associated clinical information for this SNP
rs7525100	No associated clinical information for this SNP
rs6675929	No associated clinical information for this SNP
rs728908	No associated clinical information for this SNP
rs12745058	No associated clinical information for this SNP
rs10912632	No associated clinical information for this SNP
rs1925340	No associated clinical information for this SNP
rs6699404	No associated clinical information for this SNP
rs6425247	No associated clinical information for this SNP
rs7551131	No associated clinical information for this SNP
rs16846220	No associated clinical information for this SNP
rs16828416	No associated clinical information for this SNP
rs6425251	No associated clinical information for this SNP
rs16846278	No associated clinical information for this SNP
rs11579825	No associated clinical information for this SNP
rs11808435	No associated clinical information for this SNP
rs12561796	No associated clinical information for this SNP
rs11578058	No associated clinical information for this SNP
rs16846395	No associated clinical information for this SNP
rs6425260	No associated clinical information for this SNP
rs16846520	No associated clinical information for this SNP
rs6698314	No associated clinical information for this SNP
rs6691053	Heel bone mineral density
rs2227612	Body mass index
rs2227607	Heel bone mineral density
rs2227589	No associated clinical information for this SNP
rs6689285	No associated clinical information for this SNP
rs6687429	No associated clinical information for this SNP
rs10912735	No associated clinical information for this SNP
rs1890881	No associated clinical information for this SNP
rs7535987	No associated clinical information for this SNP
rs10912754	No associated clinical information for this SNP
rs7545388	No associated clinical information for this SNP
rs6684688	No associated clinical information for this SNP
rs10912779	No associated clinical information for this SNP
rs12565430	No associated clinical information for this SNP
rs10489261	Body mass index (MTAG)
rs12075213	No associated clinical information for this SNP
rs10912807	No associated clinical information for this SNP
rs2072758	No associated clinical information for this SNP
rs6691118	No associated clinical information for this SNP
rs16847237	No associated clinical information for this SNP
rs333422	No associated clinical information for this SNP
rs1754356	No associated clinical information for this SNP
rs913686	No associated clinical information for this SNP
rs10912858	No associated clinical information for this SNP
rs16847730	No associated clinical information for this SNP
rs2072040	No associated clinical information for this SNP
rs12146041	No associated clinical information for this SNP
rs1012466	No associated clinical information for this SNP
rs10912899	No associated clinical information for this SNP
rs6659761	No associated clinical information for this SNP
rs10912922	No associated clinical information for this SNP
rs10798380	No associated clinical information for this SNP
rs723640	No associated clinical information for this SNP
rs16848353	No associated clinical information for this SNP
rs2239819	No associated clinical information for this SNP
rs10912977	No associated clinical information for this SNP
rs6655978	No associated clinical information for this SNP
rs860907	No associated clinical information for this SNP
rs10912982	No associated clinical information for this SNP
rs7547439	No associated clinical information for this SNP
rs12074467	No associated clinical information for this SNP
rs10913008	No associated clinical information for this SNP
rs16848639	No associated clinical information for this SNP
rs4570382	No associated clinical information for this SNP
rs7526889	No associated clinical information for this SNP
rs2012430	No associated clinical information for this SNP
rs12037583	No associated clinical information for this SNP
rs12089079	No associated clinical information for this SNP
rs12025758	No associated clinical information for this SNP
rs4233164	No associated clinical information for this SNP
rs12401659	No associated clinical information for this SNP
rs587874	No associated clinical information for this SNP
rs12404663	No associated clinical information for this SNP
rs1155911	No associated clinical information for this SNP
rs10913063	No associated clinical information for this SNP
rs12040313	No associated clinical information for this SNP
rs12144778	No associated clinical information for this SNP
rs16849068	No associated clinical information for this SNP
rs6677954	No associated clinical information for this SNP
rs12561921	No associated clinical information for this SNP
rs10913081	No associated clinical information for this SNP
rs519424	No associated clinical information for this SNP
rs12736942	No associated clinical information for this SNP
rs10494494	No associated clinical information for this SNP
rs4652143	No associated clinical information for this SNP
rs12134392	No associated clinical information for this SNP
rs12125328	No associated clinical information for this SNP
rs11580044	No associated clinical information for this SNP
rs1393762	No associated clinical information for this SNP
rs4652174	No associated clinical information for this SNP
rs7552857	No associated clinical information for this SNP
rs7515586	No associated clinical information for this SNP
rs7536647	No associated clinical information for this SNP
rs11801416	No associated clinical information for this SNP
rs11581965	No associated clinical information for this SNP
rs2206510	No associated clinical information for this SNP
rs2294649	No associated clinical information for this SNP
rs10489474	No associated clinical information for this SNP
rs12061205	No associated clinical information for this SNP
rs909941	Perioperative myocardial infarction in coronary artery bypass surgery
rs3795320	Perioperative myocardial infarction in coronary artery bypass surgery
rs12565327	Height
rs10913237	Perioperative myocardial infarction in coronary artery bypass surgery
rs4507975	Venous thromboembolism (SNP x SNP interaction)
rs720683	No associated clinical information for this SNP
rs7349124	No associated clinical information for this SNP
rs1886766	No associated clinical information for this SNP
rs1015419	No associated clinical information for this SNP
rs11576339	No associated clinical information for this SNP
rs6413830	No associated clinical information for this SNP
rs10913274	No associated clinical information for this SNP
rs6682133	No associated clinical information for this SNP
rs7521505	No associated clinical information for this SNP
rs7525302	No associated clinical information for this SNP
rs2861885	No associated clinical information for this SNP
rs7548151	Depression (broad)
rs12733741	No associated clinical information for this SNP
rs12031932	No associated clinical information for this SNP
rs989536	No associated clinical information for this SNP
rs1045736	No associated clinical information for this SNP
rs11587000	N-acetylmethionine sulfoxide levels in elite athletes
rs1123317	No associated clinical information for this SNP
rs6667899	No associated clinical information for this SNP
rs6680701	No associated clinical information for this SNP
rs1569751	No associated clinical information for this SNP
rs4650965	No associated clinical information for this SNP
rs10489226	No associated clinical information for this SNP
rs7521346	No associated clinical information for this SNP
rs6696093	No associated clinical information for this SNP
rs12140698	No associated clinical information for this SNP
rs2902113	No associated clinical information for this SNP
rs1885026	No associated clinical information for this SNP
rs1321776	No associated clinical information for this SNP
rs1407173	No associated clinical information for this SNP
rs10798544	No associated clinical information for this SNP
rs841775	No associated clinical information for this SNP
rs4142491	No associated clinical information for this SNP
rs1415334	No associated clinical information for this SNP
rs1003073	No associated clinical information for this SNP
rs16851663	Height
rs1022800	No associated clinical information for this SNP
rs7542551	No associated clinical information for this SNP
rs10913414	No associated clinical information for this SNP
rs2902197	No associated clinical information for this SNP
rs3131328	No associated clinical information for this SNP
rs1885644	Core binding factor acute myeloid leukemia
rs12402666	No associated clinical information for this SNP
rs12143741	No associated clinical information for this SNP
rs4072161	No associated clinical information for this SNP
rs10913424	No associated clinical information for this SNP
rs12735595	No associated clinical information for this SNP
rs2902200	No associated clinical information for this SNP
rs516636	Waist circumference
rs575908	Breast cancer
rs7522194	No associated clinical information for this SNP
rs943762	No associated clinical information for this SNP
rs3828137	Body mass index (MTAG)
rs7517262	No associated clinical information for this SNP
rs4147158	No associated clinical information for this SNP
rs16852358	No associated clinical information for this SNP
rs946818	No associated clinical information for this SNP
rs7530170	No associated clinical information for this SNP
rs17360740	No associated clinical information for this SNP
rs6703721	No associated clinical information for this SNP
rs2862303	No associated clinical information for this SNP
rs10913506	No associated clinical information for this SNP
rs12079681	No associated clinical information for this SNP
rs170288	No associated clinical information for this SNP
rs16828608	No associated clinical information for this SNP
rs12067894	No associated clinical information for this SNP
rs3791026	No associated clinical information for this SNP
rs10158298	No associated clinical information for this SNP
rs4304537	No associated clinical information for this SNP
rs12754916	No associated clinical information for this SNP
rs12750502	No associated clinical information for this SNP
rs4651000	No associated clinical information for this SNP
rs1998543	No associated clinical information for this SNP
rs10913584	No associated clinical information for this SNP
rs10798625	No associated clinical information for this SNP
rs12407833	No associated clinical information for this SNP
rs12085724	No associated clinical information for this SNP
rs16853243	No associated clinical information for this SNP
rs2811276	No associated clinical information for this SNP
rs10913618	No associated clinical information for this SNP
rs4540610	No associated clinical information for this SNP
rs11579384	No associated clinical information for this SNP
rs3766642	Height
rs3753535	FEV1
rs4430291	No associated clinical information for this SNP
rs871631	No associated clinical information for this SNP
rs10798641	No associated clinical information for this SNP
rs2031470	No associated clinical information for this SNP
rs4652341	No associated clinical information for this SNP
rs16853647	No associated clinical information for this SNP
rs1128952	No associated clinical information for this SNP
rs2152318	Bioavailable testosterone levels
rs2492778	No associated clinical information for this SNP
rs7531307	No associated clinical information for this SNP
rs10913734	No associated clinical information for this SNP
rs16854064	No associated clinical information for this SNP
rs10913752	No associated clinical information for this SNP
rs12403933	No associated clinical information for this SNP
rs12130876	No associated clinical information for this SNP
rs16854304	No associated clinical information for this SNP
rs10913816	No associated clinical information for this SNP
rs3765548	No associated clinical information for this SNP
rs1887814	No associated clinical information for this SNP
rs7519436	No associated clinical information for this SNP
rs10798711	No associated clinical information for this SNP
rs2504057	No associated clinical information for this SNP
rs10913870	No associated clinical information for this SNP
rs12128834	No associated clinical information for this SNP
rs17370084	No associated clinical information for this SNP
rs10913879	No associated clinical information for this SNP
rs4448483	No associated clinical information for this SNP
rs3845386	No associated clinical information for this SNP
rs6425594	No associated clinical information for this SNP
rs1281424	No associated clinical information for this SNP
rs7530362	No associated clinical information for this SNP
rs10913913	No associated clinical information for this SNP
rs12124175	No associated clinical information for this SNP
rs9700973	No associated clinical information for this SNP
rs7551902	No associated clinical information for this SNP
rs6425611	No associated clinical information for this SNP
rs10913939	No associated clinical information for this SNP
rs12075337	No associated clinical information for this SNP
rs3842890	No associated clinical information for this SNP
rs7513063	No associated clinical information for this SNP
rs7521602	No associated clinical information for this SNP
rs357069	No associated clinical information for this SNP
rs357053	No associated clinical information for this SNP
rs7543669	No associated clinical information for this SNP
rs2764454	No associated clinical information for this SNP
rs10494526	No associated clinical information for this SNP
rs13374665	No associated clinical information for this SNP
rs1416823	Vertex-wise cortical thickness
rs2331545	No associated clinical information for this SNP
rs6663339	No associated clinical information for this SNP
rs4652519	No associated clinical information for this SNP
rs10798782	No associated clinical information for this SNP
rs3843276	No associated clinical information for this SNP
rs12038863	No associated clinical information for this SNP
rs17373425	No associated clinical information for this SNP
rs10494532	No associated clinical information for this SNP
rs16856409	No associated clinical information for this SNP
rs16856420	No associated clinical information for this SNP
rs1554185	No associated clinical information for this SNP
rs12035742	No associated clinical information for this SNP
rs6425654	No associated clinical information for this SNP
rs12047845	No associated clinical information for this SNP
rs12075235	No associated clinical information for this SNP
rs12067934	No associated clinical information for this SNP
rs10737351	No associated clinical information for this SNP
rs2331902	Total protein levels x insomnia interaction
rs3806284	No associated clinical information for this SNP
rs3789357	No associated clinical information for this SNP
rs2877545	No associated clinical information for this SNP
rs2282348	No associated clinical information for this SNP
rs4652554	No associated clinical information for this SNP
rs2877547	No associated clinical information for this SNP
rs3856080	No associated clinical information for this SNP
rs12728835	No associated clinical information for this SNP
rs6674511	No associated clinical information for this SNP
rs2609483	No associated clinical information for this SNP
rs2609485	No associated clinical information for this SNP
rs7525299	No associated clinical information for this SNP
rs12141165	No associated clinical information for this SNP
rs2804694	No associated clinical information for this SNP
rs2609473	No associated clinical information for this SNP
rs634225	No associated clinical information for this SNP
rs603511	No associated clinical information for this SNP
rs16857239	No associated clinical information for this SNP
rs650635	No associated clinical information for this SNP
rs12566751	No associated clinical information for this SNP
rs3856087	No associated clinical information for this SNP
rs12060765	No associated clinical information for this SNP
rs558994	No associated clinical information for this SNP
rs17494681	No associated clinical information for this SNP
rs4126690	No associated clinical information for this SNP
rs13375076	No associated clinical information for this SNP
rs16857648	No associated clinical information for this SNP
rs12071300	No associated clinical information for this SNP
rs12139532	No associated clinical information for this SNP
rs3820260	No associated clinical information for this SNP
rs3767004	No associated clinical information for this SNP
rs2280868	No associated clinical information for this SNP
rs199933	Neuroticism
rs3753752	No associated clinical information for this SNP
rs480752	No associated clinical information for this SNP
rs695072	No associated clinical information for this SNP
rs4465155	No associated clinical information for this SNP
rs12408910	No associated clinical information for this SNP
rs12410953	No associated clinical information for this SNP
rs16858396	No associated clinical information for this SNP
rs10494544	No associated clinical information for this SNP
rs1281292	No associated clinical information for this SNP
rs4523491	No associated clinical information for this SNP
rs1814693	No associated clinical information for this SNP
rs7554182	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
rs2236537	Neonatal abstinence syndrome
rs10911021	Cardiovascular heart disease in diabetics
rs3795489	No associated clinical information for this SNP
rs12564594	No associated clinical information for this SNP
rs7414231	No associated clinical information for this SNP
rs10911031	HDL cholesterol levels
rs6690533	No associated clinical information for this SNP
rs2489285	No associated clinical information for this SNP
rs2256917	No associated clinical information for this SNP
rs10911048	No associated clinical information for this SNP
rs12146116	No associated clinical information for this SNP
rs4075837	No associated clinical information for this SNP
rs11587233	No associated clinical information for this SNP
rs11578440	No associated clinical information for this SNP
rs6677117	No associated clinical information for this SNP
rs155552	No associated clinical information for this SNP
rs1968710	No associated clinical information for this SNP
rs7535533	No associated clinical information for this SNP
rs12034992	No associated clinical information for this SNP
rs486907	No associated clinical information for this SNP
rs12041623	No associated clinical information for this SNP
rs528846	No associated clinical information for this SNP
rs628504	No associated clinical information for this SNP
rs661506	No associated clinical information for this SNP
rs1148769	No associated clinical information for this SNP
rs512189	No associated clinical information for this SNP
rs490285	Height
rs16859619	No associated clinical information for this SNP
rs12118059	No associated clinical information for this SNP
