SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs17366977	1	163936436	No gene information found	No associated clinical information for this SNP
rs12082367	1	163974636	No gene information found	No associated clinical information for this SNP
rs1444444	1	163978605	No gene information found	No associated clinical information for this SNP
rs12143508	1	163978890	No gene information found	No associated clinical information for this SNP
rs12760871	1	164051815	No gene information found	No associated clinical information for this SNP
rs16824651	1	164090193	No gene information found	No associated clinical information for this SNP
rs12026821	1	164155437	No gene information found	No associated clinical information for this SNP
rs11800877	1	164190573	No gene information found	No associated clinical information for this SNP
rs803441	1	164214594	No gene information found	No associated clinical information for this SNP
rs6672097	1	164224941	No gene information found	No associated clinical information for this SNP
rs12060048	1	164225889	No gene information found	No associated clinical information for this SNP
rs16826577	1	164226316	No gene information found	No associated clinical information for this SNP
rs2153184	1	164234760	No gene information found	No associated clinical information for this SNP
rs12137386	1	164238306	No gene information found	No associated clinical information for this SNP
rs10157716	1	164243797	No gene information found	No associated clinical information for this SNP
rs1556867	1	164244449	No gene information found	Myopia
rs535988	1	164311041	No gene information found	No associated clinical information for this SNP
rs559021	1	164314669	No gene information found	No associated clinical information for this SNP
rs902013	1	164329266	No gene information found	No associated clinical information for this SNP
rs2077405	1	164363412	No gene information found	No associated clinical information for this SNP
rs12564344	1	164366072	No gene information found	No associated clinical information for this SNP
rs16829793	1	164403840	No gene information found	No associated clinical information for this SNP
rs10800018	1	164416453	No gene information found	No associated clinical information for this SNP
rs2788526	1	164434934	No gene information found	No associated clinical information for this SNP
rs1289726	1	164443610	No gene information found	No associated clinical information for this SNP
rs1416261	1	164478592	No gene information found	No associated clinical information for this SNP
rs3945008	1	164485233	No gene information found	No associated clinical information for this SNP
rs10918018	1	164505021	No gene information found	No associated clinical information for this SNP
rs17385225	1	164505964	No gene information found	No associated clinical information for this SNP
rs868376	1	164512003	No gene information found	No associated clinical information for this SNP
rs12402920	1	164522917	No gene information found	No associated clinical information for this SNP
rs6657417	1	164528291	No gene information found	No associated clinical information for this SNP
rs1338634	1	164536952	No gene information found	No associated clinical information for this SNP
rs11590969	1	164537271	No gene information found	No associated clinical information for this SNP
rs10918034	1	164540469	No gene information found	No associated clinical information for this SNP
rs2275560	1	164560429	PBX1	Sex hormone-binding globulin levels adjusted for BMI
rs1780365	1	164586049	PBX1	No associated clinical information for this SNP
rs12119483	1	164592091	PBX1	No associated clinical information for this SNP
rs7529254	1	164597164	PBX1	No associated clinical information for this SNP
rs11581789	1	164604627	PBX1	No associated clinical information for this SNP
rs1618566	1	164638109	PBX1	No associated clinical information for this SNP
rs16833488	1	164640345	PBX1	No associated clinical information for this SNP
rs1057756	1	164682418	PBX1	No associated clinical information for this SNP
rs1780352	1	164693974	PBX1	No associated clinical information for this SNP
rs1387389	1	164720525	PBX1	Breast cancer (prognosis)
rs11583670	1	164746931	PBX1	No associated clinical information for this SNP
rs2050745	1	164749121	PBX1	No associated clinical information for this SNP
rs17389039	1	164753108	PBX1	No associated clinical information for this SNP
rs10494421	1	164769490	PBX1-AS1;PBX1	Waist-hip index
rs12098218	1	164771654	PBX1-AS1;PBX1	No associated clinical information for this SNP
rs10800047	1	164774942	PBX1	No associated clinical information for this SNP
rs902038	1	164796972	PBX1	No associated clinical information for this SNP
rs3767367	1	164812769	PBX1	No associated clinical information for this SNP
rs6698381	1	164823941	PBX1	No associated clinical information for this SNP
rs1107531	1	164838692	PBX1	No associated clinical information for this SNP
rs10800055	1	164841343	PBX1	No associated clinical information for this SNP
rs6426881	1	164847489	PBX1	Night sleep phenotypes
rs1890535	1	164859798	PBX1	No associated clinical information for this SNP
rs10494426	1	164866103	PBX1	No associated clinical information for this SNP
rs1934089	1	164874985	PBX1	No associated clinical information for this SNP
rs10800056	1	164894959	PBX1	No associated clinical information for this SNP
rs4347190	1	164913496	No gene information found	No associated clinical information for this SNP
rs12071316	1	164937835	No gene information found	No associated clinical information for this SNP
rs1891737	1	164959516	No gene information found	No associated clinical information for this SNP
rs4275431	1	164965225	No gene information found	No associated clinical information for this SNP
rs10918106	1	165008933	No gene information found	No associated clinical information for this SNP
rs7542261	1	165030613	No gene information found	No associated clinical information for this SNP
rs11800195	1	165044410	No gene information found	No associated clinical information for this SNP
rs1891339	1	165047129	No gene information found	No associated clinical information for this SNP
rs10800069	1	165060298	No gene information found	No associated clinical information for this SNP
rs12404676	1	165063009	No gene information found	No associated clinical information for this SNP
rs12119600	1	165069034	No gene information found	No associated clinical information for this SNP
rs4495669	1	165069701	No gene information found	No associated clinical information for this SNP
rs6663388	1	165077359	No gene information found	No associated clinical information for this SNP
rs4657399	1	165117428	No gene information found	No associated clinical information for this SNP
rs11799433	1	165121146	No gene information found	No associated clinical information for this SNP
rs10918123	1	165126042	No gene information found	No associated clinical information for this SNP
rs12092467	1	165126959	No gene information found	No associated clinical information for this SNP
rs6426897	1	165133262	No gene information found	No associated clinical information for this SNP
rs1038980	1	165142859	No gene information found	Educational attainment
rs16840155	1	165156614	No gene information found	No associated clinical information for this SNP
rs730890	1	165164454	No gene information found	No associated clinical information for this SNP
rs1039587	1	165197595	No gene information found	No associated clinical information for this SNP
rs6703000	1	165210637	LMX1A;LMX1A-AS2	No associated clinical information for this SNP
rs1394439	1	165244585	LMX1A	No associated clinical information for this SNP
rs10494440	1	165247546	LMX1A	No associated clinical information for this SNP
rs10918143	1	165253131	LMX1A	No associated clinical information for this SNP
rs4657427	1	165256034	LMX1A	No associated clinical information for this SNP
rs10494441	1	165281370	LMX1A	No associated clinical information for this SNP
rs4361970	1	165288018	LMX1A	No associated clinical information for this SNP
rs16842100	1	165289409	LMX1A	No associated clinical information for this SNP
rs16842357	1	165307652	LMX1A	No associated clinical information for this SNP
rs2174696	1	165314233	LMX1A	No associated clinical information for this SNP
rs875822	1	165317326	LMX1A	No associated clinical information for this SNP
rs17414281	1	165339915	LMX1A	No associated clinical information for this SNP
rs12057296	1	165373726	No gene information found	No associated clinical information for this SNP
rs10489743	1	165384311	No gene information found	No associated clinical information for this SNP
rs12143294	1	165388837	No gene information found	No associated clinical information for this SNP
rs16844019	1	165396916	No gene information found	No associated clinical information for this SNP
rs283694	1	165407448	RXRG	TestASV_32 (Ruminococcaceae) abundance
rs746332	1	165410335	RXRG	No associated clinical information for this SNP
rs157869	1	165419711	RXRG	No associated clinical information for this SNP
rs157880	1	165431763	RXRG	No associated clinical information for this SNP
rs10800098	1	165439858	RXRG	AIDS
rs4657449	1	165496044	LRRC52-AS1	No associated clinical information for this SNP
rs185902	1	165501577	LRRC52-AS1	No associated clinical information for this SNP
rs285473	1	165511110	LRRC52-AS1	No associated clinical information for this SNP
rs2478259	1	165524986	LRRC52-AS1	No associated clinical information for this SNP
rs7528336	1	165552533	LRRC52;LRRC52-AS1	No associated clinical information for this SNP
rs7355084	1	165598019	No gene information found	No associated clinical information for this SNP
rs1913836	1	165621439	No gene information found	No associated clinical information for this SNP
rs1415502	1	165626646	No gene information found	No associated clinical information for this SNP
rs4147599	1	165635754	MGST3	No associated clinical information for this SNP
rs9333437	1	165642418	MGST3	No associated clinical information for this SNP
rs1878076	1	165648083	MGST3	No associated clinical information for this SNP
rs2271657	1	165651365	MGST3	No associated clinical information for this SNP
rs4147611	1	165655786	MGST3	No associated clinical information for this SNP
rs10918239	1	165675628	ALDH9A1	No associated clinical information for this SNP
rs4646883	1	165698275	ALDH9A1	No associated clinical information for this SNP
rs4341347	1	165708696	No gene information found	No associated clinical information for this SNP
rs1913845	1	165726342	TMCO1	No associated clinical information for this SNP
rs11587339	1	165744950	TMCO1	No associated clinical information for this SNP
rs12095440	1	165761011	TMCO1	No associated clinical information for this SNP
rs16850789	1	165795697	TMCO1	No associated clinical information for this SNP
rs11585115	1	165828774	UCK2	No associated clinical information for this SNP
rs10918293	1	165850010	UCK2	No associated clinical information for this SNP
rs3790672	1	165904155	UCK2	Testicular germ cell tumor
rs3748699	1	165908514	UCK2	No associated clinical information for this SNP
rs16852868	1	165912732	No gene information found	Height
rs10800167	1	165926301	No gene information found	No associated clinical information for this SNP
rs1934272	1	165928560	No gene information found	No associated clinical information for this SNP
rs10800171	1	165938019	No gene information found	No associated clinical information for this SNP
rs12026896	1	165939551	No gene information found	No associated clinical information for this SNP
rs10918318	1	165945984	No gene information found	No associated clinical information for this SNP
rs16853832	1	165950072	No gene information found	No associated clinical information for this SNP
rs11587642	1	165956297	No gene information found	No associated clinical information for this SNP
rs4657500	1	165995974	No gene information found	No associated clinical information for this SNP
rs1319898	1	166037787	No gene information found	No associated clinical information for this SNP
rs10753700	1	166042429	No gene information found	No associated clinical information for this SNP
rs11581254	1	166053911	No gene information found	No associated clinical information for this SNP
rs4642869	1	166072231	FAM78B	No associated clinical information for this SNP
rs6662013	1	166073421	FAM78B	No associated clinical information for this SNP
rs12081735	1	166093025	FAM78B	No associated clinical information for this SNP
rs7551912	1	166150107	FAM78B	No associated clinical information for this SNP
rs9651038	1	166159169	FAM78B	No associated clinical information for this SNP
rs16856876	1	166295820	No gene information found	No associated clinical information for this SNP
rs4282794	1	166301458	No gene information found	No associated clinical information for this SNP
rs6426993	1	166335230	No gene information found	No associated clinical information for this SNP
rs12030750	1	166347465	No gene information found	No associated clinical information for this SNP
rs16856966	1	166357513	No gene information found	No associated clinical information for this SNP
rs3929930	1	166358280	No gene information found	No associated clinical information for this SNP
rs6426996	1	166362241	No gene information found	No associated clinical information for this SNP
rs16856987	1	166363504	No gene information found	No associated clinical information for this SNP
rs3924946	1	166367462	No gene information found	No associated clinical information for this SNP
rs10918446	1	166382982	No gene information found	No associated clinical information for this SNP
rs10918474	1	166466063	No gene information found	No associated clinical information for this SNP
rs10918481	1	166482206	LINC01675	Core binding factor acute myeloid leukemia
rs11579746	1	166517576	No gene information found	No associated clinical information for this SNP
rs12119773	1	166524319	No gene information found	No associated clinical information for this SNP
rs2841176	1	166566961	FMO8P	No associated clinical information for this SNP
rs1353231	1	166572912	FMO8P	No associated clinical information for this SNP
rs10494467	1	166581199	No gene information found	No associated clinical information for this SNP
rs16857521	1	166588534	No gene information found	No associated clinical information for this SNP
rs714339	1	166625972	FMO9P	No associated clinical information for this SNP
rs7522414	1	166689866	No gene information found	No associated clinical information for this SNP
rs487726	1	166737906	No gene information found	No associated clinical information for this SNP
rs17331024	1	166861739	TADA1	No associated clinical information for this SNP
rs2038022	1	166904180	ILDR2	No associated clinical information for this SNP
rs742048	1	166940908	ILDR2	No associated clinical information for this SNP
rs10489574	1	166941594	ILDR2	No associated clinical information for this SNP
rs10918600	1	166950105	ILDR2	No associated clinical information for this SNP
rs2075982	1	166960290	ILDR2	No associated clinical information for this SNP
rs1952313	1	167011346	MAEL	No associated clinical information for this SNP
rs10918609	1	167013934	MAEL	No associated clinical information for this SNP
rs12410568	1	167046259	No gene information found	No associated clinical information for this SNP
rs17433906	1	167047661	No gene information found	No associated clinical information for this SNP
rs10918613	1	167067788	GPA33	No associated clinical information for this SNP
rs12041287	1	167083751	GPA33	No associated clinical information for this SNP
rs11806848	1	167133255	GPA33	No associated clinical information for this SNP
rs12409740	1	167168635	No gene information found	No associated clinical information for this SNP
rs10918653	1	167174659	No gene information found	No associated clinical information for this SNP
rs10918662	1	167189408	LINC01363	No associated clinical information for this SNP
rs11580495	1	167191722	LINC01363	No associated clinical information for this SNP
rs12068411	1	167249148	POU2F1	No associated clinical information for this SNP
rs10918693	1	167462620	CD247	No associated clinical information for this SNP
rs1214609	1	167480371	CD247	No associated clinical information for this SNP
rs6670426	1	167494669	CD247	No associated clinical information for this SNP
rs704852	1	167494679	CD247	No associated clinical information for this SNP
rs858542	1	167498545	CD247	No associated clinical information for this SNP
rs2982480	1	167515137	CD247	No associated clinical information for this SNP
rs3820390	1	167518643	No gene information found	No associated clinical information for this SNP
rs2995054	1	167519647	AKR1D1P1	No associated clinical information for this SNP
rs2984800	1	167519788	AKR1D1P1	No associated clinical information for this SNP
rs6698995	1	167522538	No gene information found	No associated clinical information for this SNP
rs1737498	1	167529921	CREG1	No associated clinical information for this SNP
rs10918708	1	167530053	CREG1	CD3 on CD39+ activated CD4 regulatory T cell
rs12048110	1	167542861	CREG1	No associated clinical information for this SNP
rs3820393	1	167543321	CREG1	No associated clinical information for this SNP
rs1737481	1	167557979	No gene information found	No associated clinical information for this SNP
rs1773548	1	167560402	No gene information found	No associated clinical information for this SNP
rs17477053	1	167563707	No gene information found	No associated clinical information for this SNP
rs12563273	1	167566121	No gene information found	No associated clinical information for this SNP
rs1935286	1	167584993	No gene information found	No associated clinical information for this SNP
rs12037105	1	167593368	No gene information found	No associated clinical information for this SNP
rs12039995	1	167602259	No gene information found	No associated clinical information for this SNP
rs4657681	1	167606182	No gene information found	No associated clinical information for this SNP
rs12027530	1	167643775	RCSD1	No associated clinical information for this SNP
rs1229377	1	167662569	RCSD1	No associated clinical information for this SNP
rs10918737	1	167670618	RCSD1	No associated clinical information for this SNP
rs1229351	1	167673755	RCSD1	No associated clinical information for this SNP
rs7548083	1	167695827	RCSD1	No associated clinical information for this SNP
rs13374598	1	167698383	RCSD1	No associated clinical information for this SNP
rs12566176	1	167727822	MPZL1	No associated clinical information for this SNP
rs3767445	1	167730906	MPZL1	No associated clinical information for this SNP
rs10918754	1	167737284	MPZL1	No associated clinical information for this SNP
rs7518652	1	167739827	MPZL1	No associated clinical information for this SNP
rs4472738	1	167770584	MPZL1	No associated clinical information for this SNP
rs10125	1	167789414	MPZL1	No associated clinical information for this SNP
rs8623	1	167790601	MPZL1	No associated clinical information for this SNP
rs3213588	1	167809606	ADCY10	No associated clinical information for this SNP
rs3738235	1	167854267	ADCY10	No associated clinical information for this SNP
rs203777	1	167907378	ADCY10	No associated clinical information for this SNP
rs11579897	1	167910847	ADCY10	No associated clinical information for this SNP
rs12069749	1	167964311	DCAF6	No associated clinical information for this SNP
rs275137	1	168082028	GPR161	Core binding factor acute myeloid leukemia
rs275138	1	168084164	GPR161	No associated clinical information for this SNP
rs2863764	1	168091951	GPR161	No associated clinical information for this SNP
rs7525424	1	168093417	GPR161	No associated clinical information for this SNP
rs10918826	1	168106078	GPR161	No associated clinical information for this SNP
rs2294253	1	168187389	TIPRL	No associated clinical information for this SNP
rs2235207	1	168190024	TIPRL	No associated clinical information for this SNP
rs3767481	1	168282297	TBX19	No associated clinical information for this SNP
rs2300573	1	168325012	No gene information found	No associated clinical information for this SNP
rs10800356	1	168358317	No gene information found	No associated clinical information for this SNP
rs760685	1	168367155	No gene information found	No associated clinical information for this SNP
rs2268554	1	168372628	No gene information found	No associated clinical information for this SNP
rs7549700	1	168437223	No gene information found	No associated clinical information for this SNP
rs7417366	1	168494349	No gene information found	X-C motif chemokine ligand 1 levels
rs7536740	1	168503683	No gene information found	No associated clinical information for this SNP
rs16860761	1	168523365	No gene information found	No associated clinical information for this SNP
rs7529824	1	168531220	No gene information found	No associated clinical information for this SNP
rs1933107	1	168555657	No gene information found	No associated clinical information for this SNP
rs1933089	1	168605460	No gene information found	No associated clinical information for this SNP
rs11589732	1	168616051	No gene information found	No associated clinical information for this SNP
rs2419117	1	168619944	No gene information found	No associated clinical information for this SNP
rs7355223	1	168620750	No gene information found	No associated clinical information for this SNP
rs728354	1	168632017	No gene information found	No associated clinical information for this SNP
rs10489216	1	168633624	No gene information found	No associated clinical information for this SNP
rs10489217	1	168646680	No gene information found	No associated clinical information for this SNP
rs6427140	1	168649778	No gene information found	Height
rs1009434	1	168665766	No gene information found	No associated clinical information for this SNP
rs1415678	1	168685093	No gene information found	No associated clinical information for this SNP
rs1412335	1	168689642	No gene information found	Height
rs631451	1	168698767	DPT	No associated clinical information for this SNP
rs7542028	1	168718584	DPT	No associated clinical information for this SNP
rs11590043	1	168723377	DPT	No associated clinical information for this SNP
rs11804204	1	168725809	DPT	No associated clinical information for this SNP
rs736846	1	168726371	DPT	No associated clinical information for this SNP
rs471972	1	168731847	No gene information found	No associated clinical information for this SNP
rs3950134	1	168751012	No gene information found	No associated clinical information for this SNP
rs2744662	1	168808138	No gene information found	No associated clinical information for this SNP
rs200577	1	168860114	No gene information found	No associated clinical information for this SNP
rs857646	1	168860753	No gene information found	No associated clinical information for this SNP
rs857633	1	168864724	No gene information found	No associated clinical information for this SNP
rs1407477	1	168894071	No gene information found	No associated clinical information for this SNP
rs12562255	1	168900217	No gene information found	No associated clinical information for this SNP
rs6427160	1	168922943	LINC00970	Core binding factor acute myeloid leukemia
rs10489369	1	168958348	LINC00970	No associated clinical information for this SNP
rs10800398	1	168973591	LINC00970	Mitochondrial DNA levels
rs10919051	1	169071906	LINC00970	No associated clinical information for this SNP
rs1200131	1	169109621	ATP1B1	No associated clinical information for this SNP
rs3766031	1	169115881	ATP1B1	No associated clinical information for this SNP
rs9765	1	169132288	ATP1B1	No associated clinical information for this SNP
rs12728466	1	169143465	NME7;ATP1B1	No associated clinical information for this SNP
rs9633334	1	169200618	NME7;ATP1B1	No associated clinical information for this SNP
rs12118611	1	169306392	NME7;ATP1B1	No associated clinical information for this SNP
rs10919144	1	169339186	NME7	No associated clinical information for this SNP
rs10158131	1	169347372	NME7	No associated clinical information for this SNP
rs3765229	1	169418955	CCDC181	No associated clinical information for this SNP
rs10489188	1	169421089	CCDC181	No associated clinical information for this SNP
rs12092506	1	169436279	CCDC181	No associated clinical information for this SNP
rs17518769	1	169482852	SLC19A2	No associated clinical information for this SNP
rs723751	1	169496759	No gene information found	No associated clinical information for this SNP
rs970741	1	169510807	No gene information found	No associated clinical information for this SNP
rs12120605	1	169553316	F5	No associated clinical information for this SNP
rs7545236	1	169560832	F5	Ethion levels
rs1894701	1	169561348	F5	No associated clinical information for this SNP
rs3917854	1	169589797	SELP	No associated clinical information for this SNP
rs6128	1	169593666	SELP	P-selectin level in Chronic kidney disease with hypertension and no diabetes (4154_57)
rs3766122	1	169597589	SELP	No associated clinical information for this SNP
rs2205895	1	169603407	SELP	Torsin-1A-interacting protein 1 levels (TOR1AIP1.9039.47.3)
rs2076074	1	169609348	SELP	No associated clinical information for this SNP
rs3917740	1	169610028	SELP	No associated clinical information for this SNP
rs6131	1	169611647	SELP	No associated clinical information for this SNP
rs3917709	1	169615307	SELP	No associated clinical information for this SNP
rs732314	1	169630016	SELP	Epigenetic age acceleration (Horvath) in childhood cancer survivors
rs3917651	1	169630824	No gene information found	No associated clinical information for this SNP
rs17524161	1	169653689	No gene information found	No associated clinical information for this SNP
rs1569475	1	169654442	No gene information found	No associated clinical information for this SNP
rs1011266	1	169677905	FIRRM	No associated clinical information for this SNP
rs12049148	1	169682543	FIRRM	No associated clinical information for this SNP
rs4656703	1	169718994	FIRRM	No associated clinical information for this SNP
rs10800477	1	169791966	FIRRM	No associated clinical information for this SNP
rs11581878	1	169813451	FIRRM	No associated clinical information for this SNP
rs2272918	1	169849739	FIRRM;SCYL3	No associated clinical information for this SNP
rs1062976	1	169854519	SCYL3	No associated clinical information for this SNP
rs2750014	1	169933936	KIFAP3	No associated clinical information for this SNP
rs1330369	1	170047926	KIFAP3	No associated clinical information for this SNP
rs12145614	1	170063113	KIFAP3	No associated clinical information for this SNP
rs2050651	1	170078288	KIFAP3	No associated clinical information for this SNP
rs12126443	1	170088776	No gene information found	No associated clinical information for this SNP
rs10919299	1	170098155	No gene information found	No associated clinical information for this SNP
rs12135070	1	170115014	No gene information found	No associated clinical information for this SNP
rs471569	1	170134238	No gene information found	No associated clinical information for this SNP
rs532141	1	170170367	No gene information found	No associated clinical information for this SNP
rs17349942	1	170198561	LINC01681	No associated clinical information for this SNP
rs12144655	1	170205157	LINC01681	Waist circumference adjusted for body mass index
rs12028052	1	170239294	LINC01681	No associated clinical information for this SNP
rs1412787	1	170239583	LINC01681	No associated clinical information for this SNP
rs10919337	1	170247861	LINC01681	No associated clinical information for this SNP
rs2254605	1	170270944	LINC01681	No associated clinical information for this SNP
rs1332969	1	170328737	No gene information found	No associated clinical information for this SNP
rs16863267	1	170330453	No gene information found	No associated clinical information for this SNP
rs10753804	1	170347267	No gene information found	No associated clinical information for this SNP
rs17346171	1	170350433	No gene information found	No associated clinical information for this SNP
rs1332978	1	170356816	No gene information found	No associated clinical information for this SNP
rs1930537	1	170361359	No gene information found	No associated clinical information for this SNP
rs1113231	1	170374148	No gene information found	No associated clinical information for this SNP
rs12119356	1	170433835	No gene information found	No associated clinical information for this SNP
rs7515690	1	170498927	GORAB-AS1	No associated clinical information for this SNP
rs6678578	1	170579414	No gene information found	No associated clinical information for this SNP
rs12027180	1	170594064	No gene information found	No associated clinical information for this SNP
rs12121907	1	170663667	PRRX1	No associated clinical information for this SNP
rs520131	1	170684977	PRRX1	No associated clinical information for this SNP
rs6679313	1	170745969	No gene information found	A body shape index
rs2421494	1	170746390	No gene information found	No associated clinical information for this SNP
rs991230	1	170750046	No gene information found	No associated clinical information for this SNP
rs6702078	1	170750525	No gene information found	No associated clinical information for this SNP
rs7418292	1	170775748	No gene information found	No associated clinical information for this SNP
rs10919470	1	170793539	No gene information found	Male-pattern baldness
rs6677593	1	170798135	No gene information found	No associated clinical information for this SNP
rs4656805	1	170864560	No gene information found	No associated clinical information for this SNP
rs10489239	1	170887711	No gene information found	No associated clinical information for this SNP
rs6667186	1	170890176	No gene information found	No associated clinical information for this SNP
rs11810972	1	170916484	No gene information found	No associated clinical information for this SNP
rs979070	1	170928132	No gene information found	No associated clinical information for this SNP
rs11487418	1	171027088	MROH9	No associated clinical information for this SNP
rs16863957	1	171066898	No gene information found	No associated clinical information for this SNP
rs1920145	1	171076659	No gene information found	No associated clinical information for this SNP
rs7474070	1	171081448	No gene information found	No associated clinical information for this SNP
rs17350502	1	171085165	No gene information found	No associated clinical information for this SNP
rs1800822	1	171107794	FMO3	No associated clinical information for this SNP
rs1736557	1	171110939	FMO3	No associated clinical information for this SNP
rs909529	1	171113756	FMO3	No associated clinical information for this SNP
rs2066532	1	171114263	FMO3	No associated clinical information for this SNP
rs1736559	1	171116506	FMO3	No associated clinical information for this SNP
rs10911839	1	171134913	No gene information found	No associated clinical information for this SNP
rs11812044	1	171146428	FMO6P;FMO6P	No associated clinical information for this SNP
rs2272797	1	171149701	FMO6P;FMO6P	No associated clinical information for this SNP
rs7883894	1	171156851	FMO6P;FMO6P	No associated clinical information for this SNP
rs12072579	1	171167909	No gene information found	No associated clinical information for this SNP
rs7887295	1	171170684	No gene information found	No associated clinical information for this SNP
rs28369797	1	171185279	FMO2	No associated clinical information for this SNP
rs2307492	1	171199406	FMO2	No associated clinical information for this SNP
rs2020862	1	171199445	FMO2	No associated clinical information for this SNP
rs28369895	1	171203950	FMO2	No associated clinical information for this SNP
rs2049920	1	171206447	FMO2	No associated clinical information for this SNP
rs6671692	1	171207740	FMO2	No associated clinical information for this SNP
rs10798271	1	171218848	No gene information found	No associated clinical information for this SNP
rs4916273	1	171253995	FMO1;Y_RNA	No associated clinical information for this SNP
rs2076320	1	171275620	FMO1	No associated clinical information for this SNP
rs6660565	1	171292054	No gene information found	Sudden cardiac arrest
rs7541160	1	171331209	FMO4	No associated clinical information for this SNP
rs2223477	1	171339693	FMO4;TOP1P1	No associated clinical information for this SNP
rs1963273	1	171353307	No gene information found	No associated clinical information for this SNP
rs1018391	1	171371291	No gene information found	No associated clinical information for this SNP
rs7538705	1	171380183	No gene information found	No associated clinical information for this SNP
rs2421809	1	171402859	No gene information found	No associated clinical information for this SNP
rs7523796	1	171422134	No gene information found	No associated clinical information for this SNP
rs2143934	1	171423921	No gene information found	No associated clinical information for this SNP
rs12031933	1	171436047	No gene information found	No associated clinical information for this SNP
rs10798416	1	171460134	No gene information found	No associated clinical information for this SNP
rs16864515	1	171466403	No gene information found	Microalbuminuria
rs929115	1	171622049	MYOCOS	No associated clinical information for this SNP
rs2421853	1	171630813	MYOCOS	No associated clinical information for this SNP
rs7525674	1	171651694	MYOC	No associated clinical information for this SNP
rs235920	1	171652835	No gene information found	No associated clinical information for this SNP
rs2075537	1	171654693	No gene information found	No associated clinical information for this SNP
rs2014613	1	171678897	No gene information found	No associated clinical information for this SNP
rs11799420	1	171683838	RPL4P3	Hippocampal atrophy
rs9943293	1	171685828	No gene information found	No associated clinical information for this SNP
rs236894	1	171700683	VAMP4	No associated clinical information for this SNP
rs1001373	1	171715366	VAMP4	No associated clinical information for this SNP
rs3753539	1	171747045	No gene information found	No associated clinical information for this SNP
rs10913625	1	171763238	No gene information found	No associated clinical information for this SNP
rs11803889	1	171774435	No gene information found	Executive function (trail making test B)
rs2232816	1	171783899	METTL13	No associated clinical information for this SNP
rs11587288	1	171801099	METTL13	No associated clinical information for this SNP
rs2206544	1	171873467	DNM3	No associated clinical information for this SNP
rs7554526	1	171891791	DNM3	No associated clinical information for this SNP
rs2208370	1	171986191	DNM3	No associated clinical information for this SNP
rs10910863	1	171991853	DNM3	No associated clinical information for this SNP
rs16843795	1	172071443	DNM3	No associated clinical information for this SNP
rs10911112	1	172149640	DNM3	No associated clinical information for this SNP
rs10797791	1	172152719	DNM3	No associated clinical information for this SNP
rs479185	1	172173010	DNM3	No associated clinical information for this SNP
rs610587	1	172211256	DNM3	No associated clinical information for this SNP
rs633995	1	172217589	DNM3	Waist-to-hip ratio adjusted for BMI
rs678962	1	172220749	DNM3	Height
rs10489288	1	172266921	DNM3	No associated clinical information for this SNP
rs2254720	1	172277725	DNM3	No associated clinical information for this SNP
rs10752932	1	172298414	DNM3	No associated clinical information for this SNP
rs2586416	1	172301086	DNM3	No associated clinical information for this SNP
rs16844255	1	172301910	DNM3	No associated clinical information for this SNP
rs1894633	1	172361919	DNM3	Waist-to-hip ratio adjusted for body mass index
rs3213564	1	172380781	DNM3;PIGC	No associated clinical information for this SNP
rs12132562	1	172384331	DNM3;PIGC	QT interval (sulfonylurea treatment interaction)
rs10489282	1	172407906	DNM3;PIGC	No associated clinical information for this SNP
rs16844612	1	172490538	No gene information found	No associated clinical information for this SNP
rs6424956	1	172500567	No gene information found	No associated clinical information for this SNP
rs10911843	1	172513714	No gene information found	No associated clinical information for this SNP
rs10489279	1	172529076	No gene information found	No associated clinical information for this SNP
rs1492907	1	172672978	No gene information found	No associated clinical information for this SNP
rs6673027	1	172676758	No gene information found	No associated clinical information for this SNP
rs704842	1	172681545	No gene information found	No associated clinical information for this SNP
rs11810332	1	172820625	No gene information found	No associated clinical information for this SNP
rs12079004	1	172845330	No gene information found	No associated clinical information for this SNP
rs11801183	1	172893844	No gene information found	No associated clinical information for this SNP
rs2157453	1	172894808	No gene information found	Celiac disease
rs1883475	1	172917360	No gene information found	No associated clinical information for this SNP
rs10912501	1	172952587	No gene information found	No associated clinical information for this SNP
rs10489272	1	172972573	No gene information found	No associated clinical information for this SNP
rs4916292	1	172975669	No gene information found	No associated clinical information for this SNP
rs1883478	1	173016091	No gene information found	No associated clinical information for this SNP
rs6425201	1	173043664	TNFSF18	No associated clinical information for this SNP
rs2236876	1	173048346	TNFSF18	No associated clinical information for this SNP
rs12118211	1	173077199	No gene information found	No associated clinical information for this SNP
rs6663669	1	173136372	No gene information found	No associated clinical information for this SNP
rs10912543	1	173140639	No gene information found	No associated clinical information for this SNP
rs6674433	1	173172249	No gene information found	No associated clinical information for this SNP
rs10158707	1	173188062	TNFSF4	No associated clinical information for this SNP
rs10489267	1	173201013	TNFSF4	No associated clinical information for this SNP
rs3861953	1	173211249	No gene information found	No associated clinical information for this SNP
rs2422334	1	173220250	No gene information found	No associated clinical information for this SNP
rs2205960	1	173222336	No gene information found	Systemic lupus erythematosus
rs1012507	1	173250332	No gene information found	Pediatric steroid sensitive nephrotic syndrome
rs12124768	1	173286670	No gene information found	No associated clinical information for this SNP
rs6425213	1	173314388	No gene information found	No associated clinical information for this SNP
rs10912586	1	173314616	No gene information found	No associated clinical information for this SNP
rs7526970	1	173329925	No gene information found	No associated clinical information for this SNP
